timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651427210, 53070.0000, 2.1380e-12, 1486.62456007, 0.00000000, 0.00000000, 146846.78546871, 146846.78546871 
1651427211, 55649.0000, 2.1660e-12, 1492.72031596, 0.00000000, 0.00000000, 54864352229.43692780, 54864352229.43692780 
1651427212, 56987.0000, 2.1920e-12, 1495.02178533, 0.00000000, 0.00000000, 1058664941.68812168, 1058664941.68812168 
1651427213, 56802.0000, 2.2200e-12, 1494.21923278, 0.00000000, 0.00000000, 28639.78154743, 28639.78154743 
1651427214, 54611.0000, 2.2460e-12, 1495.91464007, 77105120.01072314, 0.00000000, 3308072085.48161554, 3308072085.48161554 
1651427215, 58647.0000, 2.2740e-12, 1496.83263927, 0.00000000, 0.00000000, 3688.75728145, 3688.75728145 
1651427216, 57938.0000, 2.3020e-12, 1494.30587747, 55347862.70739464, 0.00000000, 2128.27502046, 2128.27502046 
1651427217, 56573.0000, 2.3280e-12, 1496.59759161, 0.00000000, 0.00000000, 931200.32007550, 931200.32007550 
1651427218, 56581.0000, 2.3560e-12, 1490.74477900, 55275207.19665930, 0.00000000, 7008727.50788713, 7008727.50788713 
1651427219, 53441.0000, 2.3820e-12, 1496.09955601, 0.00000000, 0.00000000, 61010606.75151286, 61010606.75151286 
1651427220, 57126.0000, 2.4100e-12, 1494.29422101, 0.00000000, 0.00000000, 581.01431216, 581.01431216 
1651427221, 55139.0000, 2.4380e-12, 1495.03028901, 0.00000000, 0.00000000, 290.61587010, 290.61587010 
1651427222, 57462.0000, 2.4640e-12, 1493.27927901, 0.00000000, 0.00000000, 6760.05450053, 6760.05450053 
1651427223, 56587.0000, 2.4920e-12, 1492.79564201, 0.00000000, 0.00000000, 38324.21456232, 38324.21456232 
1651427224, 57910.0000, 2.5180e-12, 1495.87402626, 29377183.67075761, 0.00000000, 1697.02202555, 1697.02202555 
1651427225, 56732.0000, 2.5460e-12, 1493.63538052, 0.00000000, 0.00000000, 1427.53886213, 1427.53886213 
1651427226, 61997.0000, 2.5720e-12, 1491.03247105, 0.00000000, 0.00000000, 8218.45893087, 8218.45893087 
1651427227, 58871.0000, 2.6000e-12, 1496.91299957, 83540889.06064366, 0.00000000, 3085068.92877486, 3085068.92877486 
1651427228, 55482.0000, 2.6260e-12, 1496.97972780, 0.00000000, 0.00000000, 12576021.42089580, 12576021.42089580 
1651427229, 56175.0000, 2.6540e-12, 1495.86786696, 0.00000000, 0.00000000, 156012004.50720438, 156012004.50720438 
1651427230, 56285.0000, 2.6820e-12, 1488.89261116, 87651177.43647759, 0.00000000, 13106.48884522, 13106.48884522 
1651427231, 55466.0000, 2.7100e-12, 1493.30334249, 0.00000000, 0.00000000, 17407.23376039, 17407.23376039 
1651427232, 53352.0000, 2.7360e-12, 1488.70158640, 57422380.80886973, 0.00000000, 15554224.12676270, 15554224.12676270 
1651427233, 56236.0000, 2.7640e-12, 1496.69619366, 0.00000000, 0.00000000, 452601.96573899, 452601.96573899 
1651427234, 56717.0000, 2.7920e-12, 1493.35804577, 32675054.19992838, 0.00000000, 6897.74279060, 6897.74279060 
1651427235, 54800.0000, 2.8200e-12, 1495.04853329, 0.00000000, 0.00000000, 459914.56601347, 459914.56601347 
1651427236, 55904.0000, 2.8480e-12, 1496.83073780, 16369926.79599576, 0.00000000, 16463955.47803112, 16463955.47803112 
1651427237, 53094.0000, 2.8760e-12, 1490.67113525, 68316463.52491084, 0.00000000, 6962070.70511874, 6962070.70511874 
1651427238, 54773.0000, 2.9020e-12, 1497.18734956, 57126938.57845297, 0.00000000, 11128.21232421, 11128.21232421 
1651427239, 56128.0000, 2.9300e-12, 1483.05883876, 45632978.09714670, 0.00000000, 20615168.67586144, 20615168.67586144 
1651427240, 54943.0000, 2.9580e-12, 1491.30504006, 0.00000000, 0.00000000, 13024.68034448, 13024.68034448 
1651427241, 55533.0000, 2.9840e-12, 1493.59729987, 0.00000000, 0.00000000, 514558281727284.00000000, 514558281727284.00000000 
1651427242, 56629.0000, 3.0120e-12, 1496.63722891, 21103699.99550112, 0.00000000, 4532566.37166520, 4532566.37166520 
1651427243, 58330.0000, 3.0400e-12, 1494.60018767, 24141481.75770837, 0.00000000, 50092.03126073, 50092.03126073 
1651427244, 53532.0000, 3.0680e-12, 1491.86876383, 55465663.40131912, 0.00000000, 125908.08614073, 125908.08614073 
1651427245, 56615.0000, 3.0940e-12, 1496.58841001, 44913635.13260418, 0.00000000, 94285.54991750, 94285.54991750 
1651427246, 54547.0000, 3.1220e-12, 1492.51703167, 0.00000000, 0.00000000, 7615.90081074, 7615.90081074 
1651427247, 54275.0000, 3.1480e-12, 1494.95747413, 0.00000000, 0.00000000, 1382373.51996646, 1382373.51996646 
1651427248, 57367.0000, 3.1760e-12, 1494.28134938, 0.00000000, 0.00000000, 63280299207533.39843750, 63280299207533.39843750 
